MAKERERE UNIVERSITY,MBChB ,Generalist medical practitioners
MBARARA UNIVERSITY OF SCIENCE AND TECHNOLOGY,MBChB ,Generalist medical practitioners
MAKERERE UNIVERSITY,BDS,Dentists
EA,MBChB ,Generalist medical practitioners
KAMPALA INTERNATIONAL UNIVERSITY,MBChB ,Generalist medical practitioners
KENYA,M MED TROPICAL MEDICINE ,Specialist medical practitioners
UAE,MBBS ,Specialist medical practitioners
MULTAN,MBBS ,Specialist medical practitioners
NAIROBI,MBChB ,Generalist medical practitioners
DAR ES SALAAM,MD ,Specialist medical practitioners
GULU UNIVERSITY,MBChB ,Generalist medical practitioners
GRABEN CATHOLIC,MD ,Specialist medical practitioners
LIBERIA,MBChB ,Generalist medical practitioners
HARVARD,MD ,Specialist medical practitioners
BAYLOR,MD ,Specialist medical practitioners
CHICAGO,DDS ,Generalist medical practitioners
CAIRO,MBBCh ,Generalist medical practitioners
XINJIANG,MBBS ,Specialist medical practitioners
JOS,BMBCh ,Generalist medical practitioners
AIN SHAMS,MBBS ,Specialist medical practitioners
KARNATAKA,BDS,Dentists
IFE,MBChB ,Generalist medical practitioners
YAMAGUCHI,MD ,Specialist medical practitioners
RWANDA,MD ,Specialist medical practitioners
KING SAUD,MBBS ,Specialist medical practitioners
McGILL,MD ,Specialist medical practitioners
ADDIS ABABA,MD ,Specialist medical practitioners
KING SAUD,MBChB ,Generalist medical practitioners
MOSCOW,MBChB ,Generalist medical practitioners
TOMSK MEDICAL SCHOOL,MD ,Specialist medical practitioners
NORTH WESTERN,DDS ,Generalist medical practitioners
KING ABDULAZIZ,MBChB ,Generalist medical practitioners
MANSURA,M MED OPHTHALMOLOGY ,Specialist medical practitioners
KHARKHOV,MD ,Specialist medical practitioners
FRIEDRICH,MD ,Specialist medical practitioners
CAIRO,MBChB ,Generalist medical practitioners
McMASTER,MD ,Specialist medical practitioners
MUHIMBILI,MD ,Specialist medical practitioners
OTTAWA,MD ,Specialist medical practitioners
SOFIA,MBChB ,Generalist medical practitioners
CHITA,MD ,Specialist medical practitioners
STANFORD,MD ,Specialist medical practitioners
INTERNATIONAL UNIVERSITY OF AFRICA,MBBS ,Specialist medical practitioners
VINNITSA,MD ,Specialist medical practitioners
SZEGED,MD ,Specialist medical practitioners
SAURASHTRA,MBBS ,Specialist medical practitioners
LEYDEN,MD ,Specialist medical practitioners
THOMAS JEFFERSON,MD ,Specialist medical practitioners
MINSK,MBChB ,Generalist medical practitioners
PADUA,MBBS ,Specialist medical practitioners
KIGEZI,MD ,Specialist medical practitioners
CHINA,MBChB ,Generalist medical practitioners
JUBA,MBBS ,Specialist medical practitioners
PIROGOV,MD ,Specialist medical practitioners
KIU,MBChB ,Generalist medical practitioners
TOKYO,MD ,Specialist medical practitioners
BENIN,MBBS ,Specialist medical practitioners
L'VON,MD ,Specialist medical practitioners
RAJASTHAN,MBBS ,Specialist medical practitioners
WITWATERSRAND,BDS,Dentists
NORTH CAROLINA,MD ,Specialist medical practitioners
CASE WESTERN RESERVE,MD ,Specialist medical practitioners
CALIFORNIA,MD ,Specialist medical practitioners
HAMDARD,MBBS ,Specialist medical practitioners
TUMAINI,MD ,Specialist medical practitioners
GULBARGA,MBBS ,Specialist medical practitioners
BIRMINGHAM,MBChB ,Generalist medical practitioners
JONGJI,MBChB ,Generalist medical practitioners
EMORY,MD ,Specialist medical practitioners
TRIESTE,MD ,Specialist medical practitioners
HOWARD,MD ,Specialist medical practitioners
HUBERT KAIRUKI,MD ,Specialist medical practitioners
DAR ES SALAAM,DDS ,Generalist medical practitioners
LENINGRAD,MD ,Specialist medical practitioners
